name,artist,id,tempo
Paradise,Coldplay,6nek1Nin9q48AVZcWs9e9D,139.631
Everybody Talks,Neon Trees,5JGxJFdgOQdJZdmyEzDtTj,154.897
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,3bidbhpOYeV4knp8AIu8Xn,146.078
Hall of Fame (feat. will.i.am),The Script,7wMq5n8mYSKlQIGECKUgTX,84.786
I Lived,OneRepublic,7D49Iig0avHre9RFSUMkd2,119.986
All The Right Moves,OneRepublic,5XRHGXut00SrJUFmcn2lQF,146.024
I'm Ready,AJR,02ILwrgX3DDx9mclP2EI41,78.043
"Hey, Soul Sister",Train,24YvUQnuPL8gObCfSnAobH,97.012
Should I Stay or Should I Go,The Clash,2CaudH3u0OVioRmaIXmVml,113.065
Geronimo,Sheppard,21Go4aMyLGP40ANI3TU0Fn,142.012
Same Love - feat. Mary Lambert,Macklemore & Ryan Lewis,01uqI4H13Gsd8Lyl1EYd8H,84.958
I Bet My Life,Imagine Dragons,15DrrIod12Tc2IoMaHiwlQ,107.889
It Girl,Jason Derulo,4fINc8dnfcz7AdhFYVA4i7,91.993
Outside (feat. Ellie Goulding),Calvin Harris,7MmG8p0F9N3C4AXdK6o6Eb,128.035
Trumpets,Jason Derulo,5KONnBIQ9LqCxyeSPin26k,82.142
Budapest,George Ezra,7q0aQpiLv5tIsupcgQ3Ny4,127.812
Good Feeling,Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8,128.011
DJ Got Us Fallin' In Love,Usher,5tXyNhNcsnn7HbcABntOSf,119.932
Want to Want Me,Jason Derulo,0HFx7PLqzGxSfN59j3UHmR,114.025
Shut Up and Dance,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,128.038
When Can I See You Again?,Owl City,5wzF54886ZLxexpY6h1VhU,127.952
Gives You Hell,The All-American Rejects,6ihL9TjfRjadfEePzXXyVF,100.008
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,7s0lDK7y3XLmI7tcsRAbW0,151.99
Grenade,Bruno Mars,2tJulUYLDKOg9XrtVkMgcJ,110.443
Happy,Pharrell Williams,6NPVjNh8Jhru9xOmyQigds,159.911
Rude,MAGIC!,6RtPijgfPKROxEzTHNRiDp,144.033
Summer,Calvin Harris,6YUTL4dYpB9xZO5qExPf05,127.949
We Will Rock You - Remastered 2011,Queen,54flyrjcdnQdco7300avMJ,81.308
