name,tempo,row_no
Tennessee Whiskey,48.718,0
A Million Dreams,54.747,1
Building The Barricade,55.95,2
Desperado - 2013 Remaster,60.3,3
We Are The Champions - Remastered 2011,64.223,4
On This Day,64.252,5
Red Like Roses (Red Trailer) [feat. Casey Lee Williams],66.668,6
Arabian Nights,66.727,7
La Llorona,67.697,8
Dental Care,68.493,9
Lover,68.534,10
Elsa's Procession to the Cathedral,68.969,11
Parsifal: Prelude,70.69,12
Crazy,70.714,13
The Music Of The Night,71.301,14
On My Own,71.842,15
Anyone Else But You,73.115,16
Always on My Mind,73.36,17
Innuendo - Remastered 2011,73.419,18
You're the Inspiration - 2006 Remaster,74.008,19
Exhale,74.009,20
A Million Dreams (Reprise),74.369,21
Let Her Go,74.897,22
Elephant,74.98,23
Woman Like Me (feat. Nicki Minaj),75.002,24
Play with Fire (feat. Yacht Money),75.012,25
Ol' Red,75.049,26
Human,75.087,27
All I Ask of You - Single Album Version,75.142,28
A Country Boy Can Survive,75.184,29
In My Life,75.556,30
Skyfall,75.881,31
Almost Home,75.974,32
Hurricane,75.977,33
Fade Away,75.986,34
Angel,76.001,35
Mystery Lady (feat. Don Toliver),76.006,36
Get Back,76.018,37
Look Down,76.019,38
Dovahkiin,76.175,39
I'm Gonna Be Somebody,76.406,40
I Stand On That,76.474,41
Daddy's Hands,76.511,42
Civilization,76.548,43
"Jesus, Take the Wheel",76.572,44
Do You Hear The People Sing?,76.744,45
Crazy Little Thing Called Love - 2011 Remaster,76.793,46
Mirrors,76.899,47
Whiskey River,76.915,48
Don Juan,76.959,49
Beer Never Broke My Heart,77.001,50
The Greatest Show,77.009,51
I Knew You Were Trouble.,77.019,52
Strawberry Blond,77.332,53
"Die Walküre, WWV 86B / Act III: Feuerzauber",77.401,54
Tidal Wave,77.505,55
sauceintherough - bonus track,77.547,56
Fishin' in the Dark,77.756,57
Take It On the Run,77.81,58
Farmer Refuted,77.879,59
Complicated,77.987,60
All I Need (with Mahalia & Ty Dolla $ign),78.001,61
I'm Ready,78.043,62
"No One Mourns The Wicked - From ""Wicked"" Original Broadway Cast Recording/2003",78.072,63
Ocean Front Property,78.334,64
Play The Game,78.486,65
Tattoos on This Town,78.494,66
Monsters (feat. blackbear),78.532,67
The Best Of Times,78.662,68
45,78.83,69
Feel It Still,78.969,70
Hello,78.991,71
Thinking out Loud,78.998,72
Cool,79.007,73
"no body, no crime (feat. HAIM)",79.015,74
Begin Again,79.025,75
Drops of Jupiter (Tell Me),79.064,76
Lovebug,79.071,77
All I Ever Wanted (with Queen's Reprise) - The Prince Of Egypt/Soundtrack Version,79.703,78
I'll Cover You - Reprise,79.902,79
Raise Hell,79.963,80
Halo,79.983,81
Archangel,79.989,82
Jump Then Fall,79.991,83
Hallelujah,80.008,84
Sunburn,80.008,85
See You Again (feat. Charlie Puth),80.025,86
Everything Has Changed,80.029,87
Bad Ideas,80.042,88
Stan,80.063,89
I Love Kanye,80.326,90
La Grange - 2005 Remaster,80.544,91
Summertime Blues,80.716,92
Grow As We Go,80.824,93
Mess,80.848,94
RAPSTAR,81.039,95
willow,81.112,96
Pretty Women,81.268,97
We Will Rock You - Remastered 2011,81.308,98
One Day More,81.337,99
We Will Rock You,81.412,100
Lady May,81.446,101
Wake Me Up Before You Go-Go,81.548,102
"Colors of the Wind - From ""Pocahontas"" / Soundtrack Version",81.551,103
Save Me,81.572,104
Spanish Flea,81.673,105
The Thunder Rolls,81.945,106
Brick By Brick,81.966,107
Not All Heroes Wear Capes,81.986,108
American Soldier,82.009,109
High Hopes,82.014,110
Infinite,82.019,111
Trumpets,82.142,112
Dead Wrong (feat. Eminem) - 2005 Remaster,82.228,113
God's Gonna Cut You Down,82.228,114
Lot to Learn,82.232,115
I'm A Believer - Radio Edit,82.336,116
Stairway to Heaven - Remaster,82.433,117
Never Enough (Reprise),82.486,118
Bicycle Race - Remastered 2011,82.725,119
Hello Darlin' - Single Version,82.787,120
The Reason,82.904,121
North to Alaska,82.947,122
I Did Something Bad,82.989,123
Hello Beautiful,83.096,124
Roaring 20s,83.19,125
How Far I'll Go - Reprise,83.197,126
The Joker,83.293,127
The Show Must Go On - Remastered 2011,83.402,128
"Tiny Glowing Screens, Pt. 3",83.407,129
invisible string,83.433,130
You've Got to Stand for Something,83.472,131
The Bird And The Worm,83.477,132
The Point of No Return - Single Album Version,83.69,133
Lucid Dreams,83.903,134
You’re Not Alone,84.011,135
Mockingbird,84.039,136
Please Don't Go,84.264,137
Take on Me,84.412,138
So Will I,84.438,139
Big Poppa - 2005 Remaster,84.492,140
Think of Me - Single Album Version,84.631,141
An Innocent Warrior,84.656,142
Hall of Fame (feat. will.i.am),84.786,143
Everyone Knows Juanita,84.852,144
Remember the Name (feat. Styles of Beyond),84.858,145
Same Love (feat. Mary Lambert),84.958,146
ABC Café / Red & Black,84.972,147
Pour Some Sugar On Me - Remastered 2017,84.989,148
The A Team,84.996,149
Hot Venom,85.004,150
You Need To Calm Down,85.026,151
Faithfully,85.04,152
"For Good - From ""Wicked"" Original Broadway Cast Recording/2003",85.063,153
Basket Case,85.064,154
Who Wants What,85.093,155
"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",85.268,156
So Good,85.51,157
I Swear,85.523,158
My Name Is,85.561,159
Just Don't Give A Fuck,85.571,160
Impossible Year,85.574,161
All Caps,85.61,162
The Sound of Silence,85.794,163
We Are Never Ever Getting Back Together,85.984,164
"Who Am I? - From ""Les Miserables''",86.288,165
You Can't Always Get What You Want,86.327,166
Masquerade / Why So Silent?,86.343,167
All I Ask Of You - Reprise,86.578,168
Go the Distance,86.614,169
Billionaire (feat. Bruno Mars),86.776,170
Never Enough,86.777,171
Hound Dog,86.895,172
Somebody To You,86.978,173
Body Say,86.983,174
Believe (feat. Justin Timberlake),87.008,175
Burn,87.016,176
The Gambler,87.04,177
Cabinet Battle #1,87.043,178
You Will Be Found,87.335,179
"I Dreamed A Dream - From ""Les Misérables""",87.502,180
Big John - Re-Recorded In Stereo,87.533,181
Tom Sawyer,87.559,182
"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",87.613,183
Fifth Avenue,87.683,184
Him & I (with Halsey),87.908,185
Honeybee,87.919,186
Tea,88.029,187
Sunday Morning,88.04,188
Dragon Attack,88.152,189
"Love Without End, Amen",88.491,190
Fat Bottomed Girls - Remastered 2011,88.772,191
Gotta Go My Own Way,88.797,192
I'm A Survivor,88.834,193
ivy,88.856,194
"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",88.864,195
Hey Ho,88.972,196
Seasons of Love B,88.996,197
"Jumpin', Jumpin'",88.997,198
Our Song,89.011,199
Don't Take Your Guns to Town,89.199,200
Down Once More / Track Down This Murderer,89.277,201
Science Fiction / Double Feature,89.443,202
Why,89.672,203
Eastside (with Halsey & Khalid),89.949,204
Cheap Thrills (feat. Sean Paul),89.949,205
If Today Was Your Last Day,89.956,206
No One,89.969,207
Stereo Hearts (feat. Adam Levine),89.99,208
Fine By Me,89.993,209
Keep Your Head Up,90.01,210
"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",90.011,211
From Shadows (Black Trailer) [feat. Casey Lee Williams],90.014,212
My Everything,90.026,213
Peaches (feat. Daniel Caesar & Giveon),90.03,214
Let Me Blow Ya Mind,90.032,215
Shelter from the Storm,90.049,216
Whatcha Gon Do (feat. Terror Squad),90.086,217
Only God Can Judge Me,90.185,218
All Time Low,90.246,219
"I'm Not That Girl - From ""Wicked"" Original Broadway Cast Recording/2003",90.265,220
Hurt,90.379,221
"Forever and Ever, Amen",90.392,222
Adore You,90.543,223
Dishonored,90.758,224
"For the First Time in Forever - From ""Frozen""/Soundtrack Version",90.831,225
Knee Deep (feat. Jimmy Buffett),90.987,226
Mood (feat. iann dior),90.989,227
This Is Me,90.992,228
Memories,91.019,229
Kiss Me,91.044,230
Remember The Name (feat. Eminem & 50 Cent),91.046,231
Meet In the Middle,91.11,232
Take It to the Limit - 2013 Remaster,91.137,233
Black Mirror,91.415,234
Coward Of The County,91.471,235
One Mic,91.672,236
Heaven,91.894,237
It Girl,91.993,238
Non-Stop,91.994,239
Winners Never Quit,92.004,240
Gorgeous,92.027,241
Yesterday,92.035,242
Karma Chameleon - Remastered 2002,92.049,243
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",92.057,244
Friend Like Me,92.092,245
Rock Lobster,92.157,246
I Want It All,92.31,247
"I See the Light - From ""Tangled"" / Soundtrack Version",92.64,248
Africa,92.718,249
Face Down,92.956,250
One More Night,92.997,251
Loving You Tonight - New Album Version,93.004,252
WITHOUT YOU,93.005,253
Jealous,93.01,254
Gold Digger,93.034,255
"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",93.047,256
Way Down Hadestown,93.088,257
Better Days,93.203,258
All Eyez On Me,93.281,259
Doing Alright - Remastered 2011,93.294,260
Dust in the Wind,93.503,261
I Don't Need Your Rockin' Chair - Version w/special guests,93.865,262
Riding With Private Malone,93.93,263
Hypnotize - 2014 Remaster,93.941,264
What's Luv? (feat. Ja-Rule & Ashanti),93.955,265
Hellfire,93.977,266
Good Day,94.004,267
My House,94.006,268
Only Human,94.01,269
Lockdown,94.021,270
3 O'Clock Things,94.026,271
Five More Minutes,94.037,272
Jesus in LA,94.049,273
Dancing's Not a Crime,94.095,274
The Worst Pies in London,94.101,275
Still Not a Player - Remix,94.13,276
Ante Up (Robbin Hoodz Theory),94.138,277
The Internet Is for Porn,94.259,278
Just To See You Smile,94.342,279
I Love Rock 'N Roll,94.379,280
This Will Be the Day (feat. Casey Lee Williams),94.432,281
Emperor's New Clothes,94.481,282
You're the Best,94.503,283
We Are The Champions,94.504,284
"Mammas, Don't Let Your Babies Grow Up to Be Cowboys",94.597,285
Bring Me To Life,94.612,286
The Grand Illusion,94.617,287
Battle Without Honor Or Humanity,94.699,288
Welcome to the Internet,94.711,289
It Wasn't Me,94.762,290
ABC,94.769,291
A Thousand Miles,94.841,292
She Loves Control,94.9,293
Ms. Jackson,94.948,294
Fancy,94.959,295
Brain Damage,94.982,296
Good Life,94.988,297
Thrift Shop (feat. Wanz),94.992,298
S.L.U.T.,94.997,299
The Valkyrie: Ride of the Valkyries,95.003,300
Cheetah Tongue,95.008,301
Closer,95.01,302
Style,95.019,303
Broken Heart,95.02,304
Twinz (Deep Cover '98),95.025,305
Lucky,95.026,306
X Gon' Give It To Ya,95.027,307
Say My Name,95.031,308
Sucker for You,95.034,309
Perfect,95.05,310
Oops!...I Did It Again,95.053,311
FRIENDS,95.079,312
Summertime,95.116,313
Watermelon Sugar,95.39,314
Can't C Me,95.416,315
Fightin Side Of Me,95.483,316
Fifteen,95.485,317
Shallow,95.799,318
This Is Me,95.895,319
Picture Me Rollin',95.905,320
Shia LaBeouf Live,95.917,321
betty,95.939,322
Shape of You,95.977,323
Cloud Country,95.979,324
Long Division,95.985,325
Invincible,95.992,326
Blank Space,95.997,327
Invisible,96.001,328
Rocketeer,96.005,329
This Means War,96.014,330
Party In The U.S.A.,96.021,331
If I Could Tell Her,96.026,332
Miss Me More,96.028,333
On the Other Hand,96.033,334
Change,96.038,335
Magic In The Hamptons (feat. Lil Yachty),96.051,336
Teardrops,96.051,337
2002,96.133,338
For Forever,96.269,339
Good Old Fashioned Lover Boy,96.302,340
Hold the Line,96.556,341
Daddy Sang Bass,96.882,342
Welcome to the Black Parade,96.95,343
All You Had To Do Was Stay,96.969,344
Can't Be Touched (feat. Mr. Magic & Trouble),96.986,345
Ballin' (with Roddy Ricch),97.008,346
"Hey, Soul Sister",97.012,347
queen of broken hearts,97.019,348
Cornelia Street - Live From Paris,97.085,349
Something to Be Proud Of,97.555,350
Natural,97.773,351
Sweet Home Alabama,97.798,352
"Sincerely, Me",97.864,353
Moment 4 Life,97.943,354
All Falls Down (feat. Juliander),97.976,355
Mama Tried,97.982,356
Lift Yourself,98.008,357
Same Old Love,98.02,358
Dance Monkey,98.027,359
Hit and Run,98.033,360
Without Love,98.04,361
We Know The Way,98.043,362
These Palace Walls,98.05,363
I Want You Back,98.201,364
"Louisiana Woman, Mississippi Man",98.263,365
I'm Gonna Miss Her,98.354,366
I Walk the Line,98.805,367
Masquerade - Single Album Version,98.903,368
Goodbye Song,99.019,369
Popular Song,99.036,370
Crazy In Love (feat. Jay-Z),99.165,371
Crystal Blue Persuasion,99.172,372
How U Get a Record Deal?,99.402,373
Come Out Ye Black & Tans,99.425,374
Sweet Emotion,99.437,375
Wild and Untamed Thing,99.695,376
Revenge Party,99.787,377
Starving - Acoustic,99.859,378
"Toss a Coin to Your Witcher (From ""The Witcher Series"")",99.918,379
The Gambler,99.937,380
Dust On The Bottle,99.942,381
Teardrops On My Guitar - Radio Single Remix,99.953,382
Here With Me,99.961,383
Fearless,99.972,384
Tonight Tonight,99.978,385
Kiss and Make Up,99.986,386
Smoke Clears,99.988,387
Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack,99.992,388
Hot Air Balloon,100.0,389
I Think He Knows,100.003,390
New,100.005,391
Gives You Hell,100.008,392
Monster,100.013,393
Colors,100.02,394
ILYSB,100.026,395
Black Smoke Rising,100.027,396
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",100.033,397
Michelle Pfeiffer (feat. lil aaron),100.06,398
The Safety Dance,100.2,399
Don't Cry Joni,100.349,400
Love Yourself,100.418,401
Your Man,100.511,402
Crazy Beautiful,100.522,403
Dancing Queen,100.812,404
Ain't No Half-Steppin',100.842,405
Think Of Me,100.857,406
I Like It Like That (feat. New Boyz),101.002,407
We Know The Way - Finale,101.08,408
The Fresh Prince of Bel-Air,101.152,409
Day Dreaming,101.241,410
Highwayman,101.384,411
Ride of the Valkyries,101.636,412
"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",101.882,413
Criminal,101.941,414
I Took A Pill In Ibiza - Seeb Remix,101.969,415
She Will Be Loved - Radio Mix,102.0,416
Morning In America,102.018,417
Semi-Charmed Life,102.026,418
Kung Fu Fighting,102.035,419
Stay,102.04,420
Too Good To Be True,102.062,421
Save a Horse (Ride a Cowboy),102.065,422
Epiphany,102.124,423
Neon Moon,102.408,424
What I Like About You (feat. Theresa Rex),102.46,425
I Will Make It Up To You,102.522,426
The Point Of No Return / Chandelier Crash,102.699,427
Fooling Yourself (The Angry Young Man),102.855,428
